100 104
79 25 212
82 78 690
47 97 481
89 51 218
96 27 962
35 13 525
3 89 710
44 76 728
74 81 447
3 42 238
27 11 854
96 4 209
43 86 532
14 13 777
16 91 323
48 38 850
89 62 446
65 52 281
49 32 181
83 84 141
34 18 620
39 55 184
31 5 840
36 45 417
75 34 123
31 43 936
48 77 941
21 20 687
79 6 587
56 14 989
52 12 845
56 63 669
92 22 523
61 15 386
37 87 855
14 44 912
45 15 40
79 16 628
19 55 992
5 34 395
40 95 741
9 58 16
35 4 704
1 39 588
91 31 303
85 98 281
83 23 388
77 78 676
9 60 380
19 29 729
98 46 737
25 43 900
7 34 654
92 42 461
95 30 799
1 51 510
66 63 956
21 33 889
87 20 454
2 1 653
3 49 246
60 40 727
15 49 425
47 72 686
22 15 675
17 9 84
72 4 732
50 18 133
82 64 127
86 16 13
56 58 99
77 79 604
94 35 920
48 6 219
79 63 902
45 37 649
50 70 765
28 61 443
5 6 696
56 90 694
17 92 581
52 45 292
22 37 959
88 99 649
26 8 541
56 84 726
80 32 65
69 74 327
52 72 172
9 76 204
25 12 820
38 100 905
68 72 301
62 41 873
71 50 544
75 17 989
21 26 620
78 83 781
37 58 630
58 100 240
61 27 37
20 53 332
5 83 503
30 67 652
